epoch, epoch_time, loss
0, 5.1500, 0.2173
1, 1.5079, 0.1335
2, 1.5320, 0.0654
3, 1.5360, 0.0429
4, 1.5281, 0.0370
5, 1.5219, 0.0354
6, 1.5405, 0.0346
7, 1.5499, 0.0342
8, 1.5388, 0.0339
9, 1.5515, 0.0335
